,,,,,,,Daily Price Arrival Report-26-02-2026 to 26-02-2026 for Kerala,,,,,,
Kerala,Kasargod,Kanjangadu APMC,Vegetables,Tomato,Other,FAQ,"2,200.00","2,600.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Kasargod,Manjeswaram APMC,Vegetables,Tomato,Tomato,FAQ,"1,800.00","2,200.00","2,000.00",Rs./Quintal,15.00,Metric Tonnes,26-02-2026
Kerala,Kollam,Anchal APMC,Vegetables,Tomato,Tomato,Medium,"4,300.00","4,300.00","4,300.00",Rs./Quintal,0.05,Metric Tonnes,26-02-2026
Kerala,Kollam,Chathanoor APMC,Vegetables,Tomato,Other,FAQ,"6,800.00","7,200.00","7,000.00",Rs./Quintal,0.40,Metric Tonnes,26-02-2026
Kerala,Kollam,Sasthamkotta APMC,Vegetables,Tomato,Tomato,Medium,"3,000.00","3,000.00","3,000.00",Rs./Quintal,0.40,Metric Tonnes,26-02-2026
Kerala,Kottayam,Athirampuzha APMC,Vegetables,Tomato,Tomato,FAQ,"3,000.00","3,200.00","3,100.00",Rs./Quintal,0.50,Metric Tonnes,26-02-2026
Kerala,Kottayam,Ettumanoor APMC,Vegetables,Tomato,Tomato,FAQ,"3,800.00","4,200.00","4,000.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Kottayam,Kottayam APMC,Vegetables,Tomato,Other,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Kottayam,Kottayam APMC,Vegetables,Tomato,Tomato,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,2.00,Metric Tonnes,26-02-2026
Kerala,Kottayam,Pala APMC,Vegetables,Tomato,Other,FAQ,"4,400.00","5,600.00","5,000.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Kozhikode(Calicut),Kallachi APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,0.10,Metric Tonnes,26-02-2026
Kerala,Kozhikode(Calicut),Palayam APMC,Vegetables,Tomato,Other,Local,"1,714.00","1,714.00","1,714.00",Rs./Quintal,50.00,Metric Tonnes,26-02-2026
Kerala,Kozhikode(Calicut),Perambra APMC,Vegetables,Tomato,Tomato,FAQ,"1,500.00","2,000.00","1,600.00",Rs./Quintal,2.00,Metric Tonnes,26-02-2026
Kerala,Kozhikode(Calicut),Quilandy APMC,Vegetables,Tomato,Other,FAQ,"1,400.00","1,500.00","1,400.00",Rs./Quintal,0.70,Metric Tonnes,26-02-2026
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode) APMC,Vegetables,Tomato,Tomato,FAQ,"1,200.00","1,500.00","1,500.00",Rs./Quintal,170.00,Metric Tonnes,26-02-2026
Kerala,Malappuram,Kottakkal APMC,Vegetables,Tomato,Other,Local,"1,600.00","1,600.00","1,600.00",Rs./Quintal,8.00,Metric Tonnes,26-02-2026
Kerala,Malappuram,Parappanangadi APMC,Vegetables,Tomato,Other,FAQ,"1,300.00","1,350.00","1,350.00",Rs./Quintal,6.20,Metric Tonnes,26-02-2026
Kerala,Malappuram,Thirurrangadi APMC,Vegetables,Tomato,Other,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,2.00,Metric Tonnes,26-02-2026
Kerala,Palakad,Pattambi APMC,Vegetables,Tomato,Tomato,FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,0.80,Metric Tonnes,26-02-2026
Kerala,Palakad,Vadakkenchery APMC,Vegetables,Tomato,Tomato,FAQ,"2,000.00","3,000.00","2,500.00",Rs./Quintal,0.25,Metric Tonnes,26-02-2026
Kerala,Palakad,vadakarapathy APMC,Vegetables,Tomato,Tomato,FAQ,700.00,900.00,800.00,Rs./Quintal,7.00,Metric Tonnes,26-02-2026
Kerala,Thirssur,Chavakkad APMC,Vegetables,Tomato,Tomato,FAQ,"1,800.00","2,800.00","2,800.00",Rs./Quintal,0.20,Metric Tonnes,26-02-2026
Kerala,Thirssur,Chelakkara APMC,Vegetables,Tomato,Tomato,FAQ,"3,000.00","3,300.00","3,100.00",Rs./Quintal,0.18,Metric Tonnes,26-02-2026
Kerala,Thirssur,Thrissur APMC,Vegetables,Tomato,Tomato,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,10.00,Metric Tonnes,26-02-2026
Kerala,Thiruvananthapuram,Aralamoodu APMC,Vegetables,Tomato,Tomato,FAQ,"4,000.00","5,000.00","5,000.00",Rs./Quintal,2.00,Metric Tonnes,26-02-2026
Kerala,Thiruvananthapuram,Chala APMC,Vegetables,Tomato,Other,FAQ,"3,600.00","3,600.00","3,600.00",Rs./Quintal,1.00,Metric Tonnes,26-02-2026
Kerala,Thiruvananthapuram,Neyyatinkara APMC,Vegetables,Tomato,Tomato,FAQ,"3,400.00","4,000.00","3,600.00",Rs./Quintal,0.02,Metric Tonnes,26-02-2026
Kerala,Thiruvananthapuram,Vamanapuram APMC,Vegetables,Tomato,Other,Non-FAQ,"4,000.00","4,500.00","4,000.00",Rs./Quintal,0.13,Metric Tonnes,26-02-2026

